id,transaction_date,description,amount,reference_number
txn-09412,2024-12-13,S JONES WIRE,1200.00,REF0412
txn-06633,2024-12-12,CARTER G ACH,9870.50,REF0633
txn-05409,2024-12-17,BAR LEE PAYMENT,345.50,REF0409
txn-02392,2024-12-11,PAYMENT RICHARD DEAN TAYLOR,8900.00,REF0392
txn-03492,2024-12-14,CHECK DEP P MARTIN,1100.00,REF0492
txn-01473,2024-12-10,ACH PMT E PEREZ,1678.00,REF0473
txn-03624,2024-12-21,S ADAMS PAYMENT,456.75,REF0624
txn-05952,2024-12-16,LOYALTY BONUS,26.60,EXT0952
txn-02450,2024-12-17,GREEN R ONLINE PMT,1234.00,REF0450
txn-09718,2024-12-20,WIRE RECEIVED,5600.00,REF0718
txn-02504,2024-12-22,JENNIFER G,4500.00,REF0504
txn-01214,2024-12-11,"CARTER, GEORGE CHECK",9870.50,REF0214
txn-06776,2024-12-21,ONLINE DEPOSIT,3200.00,REF0776
txn-04312,2024-12-16,CHECK KAREN SUE ALLEN,534.00,REF0312
txn-02014,2024-12-12,SCOTT DOROTHY ONLINE,789.25,REF0014
txn-06780,2024-12-18,ACH TRANSFER,675.00,REF0780
txn-04471,2024-12-17,PATRICIA MARTIN,1100.00,REF0471
txn-06818,2024-12-24,PAYMENT RECEIVED,2345.00,REF0818
txn-01149,2024-12-22,JAMES PATRICK HARRIS DEPOSIT,432.75,REF0149
txn-02675,2024-12-20,WHITE ELIZ,5600.00,REF0675
txn-04467,2024-12-18,ANDERSON ROBE,725.00,REF0467
txn-05279,2024-12-23,JACKSON WILLIAM ACH,299.00,REF0279
txn-01155,2024-12-19,"WHITE, ELIZABETH CHECK DEP",5600.00,REF0155
txn-08216,2024-12-21,DEP KEVIN MICHAEL PHILLIPS,345.00,REF0216
txn-02838,2024-12-14,PAYMENT RECEIVED,2340.00,
txn-02418,2024-12-25,CHECK D WRIGHT,2345.00,REF0418
txn-07941,2024-12-19,INVESTMENT INCOME,756.49,EXT0941
txn-09202,2024-12-20,"BAKER, KENNETH ACH",3456.00,REF0202
txn-07375,2024-12-18,DEPOSIT EMILY ROSE DAVIS,2340.00,REF0375
txn-04751,2024-12-19,CHECK DEPOSIT,1100.00,REF0751
txn-07001,2024-12-15,"ROBERTS, RUTH ACH",892.50,REF0001
txn-02469,2024-12-16,ANDERSON R WIRE,725.00,REF0469
txn-01169,2024-12-19,GREEN RONALD CHECK DEP,1234.00,REF0169
txn-07391,2024-12-13,GREEN RONALD ACH,1234.00,REF0391
txn-09810,2024-12-24,COUNTER DEPOSIT,1234.00,REF0810
txn-03224,2024-12-11,"HARRIS, JAMES CHECK",432.75,REF0224
txn-00552,2024-12-19,MARTIN P PAYMENT,1100.00,REF0552
txn-01839,2024-12-10,ACH TRANSFER,456.75,REF0839
txn-08072,2024-12-25,CHECK DEP THOMAS WAYNE ROBINSON,4125.00,REF0072
txn-02485,2024-12-20,WALKER NANC,287.00,REF0485
txn-09939,2024-12-22,INTEREST PAYMENT,179.25,EXT0939
txn-00297,2024-12-14,"LEE, BARBARA WIRE",345.50,REF0297
txn-01699,2024-12-13,J SMITH DEP,450.00,REF0699
txn-01938,2024-12-11,PROMOTIONAL CREDIT,242.32,EXT0938
txn-00011,2024-12-21,"MITCHELL, MARGARET WIRE",234.25,REF0011
txn-06402,2024-12-24,WILSON A ONLINE PMT,3200.00,REF0402
txn-04978,2024-12-24,REFUND FROM VENDOR,61.66,EXT0978
txn-01088,2024-12-20,ONLINE PMT SUSAN KAY LEWIS,923.25,REF0088
txn-09198,2024-12-12,ONLINE PMT STEVEN PAUL YOUNG,6750.00,REF0198
txn-04911,2024-12-14,BANK ADJUSTMENT,11.74,EXT0911
txn-03497,2024-12-24,E WHITE ACH,5600.00,REF0497
txn-02312,2024-12-16,CHECK KAREN SUE ALLEN,534.00,REF0312
txn-08914,2024-12-14,BANK ADJUSTMENT,17.87,EXT0914
txn-08627,2024-12-15,S LEWIS ACH,923.25,REF0627
txn-01392,2024-12-11,PAYMENT RICHARD DEAN TAYLOR,8900.00,REF0392
txn-03584,2024-12-22,EDWARD PEREZ,1678.00,REF0584
txn-05026,2024-12-15,WIRE MICHAEL ROBERT WILLIAMS,875.50,REF0026
txn-06755,2024-12-23,CUSTOMER PAYMENT,1678.00,REF0755
txn-02786,2024-12-11,PAYMENT RECEIVED,2340.00,
txn-09637,2024-12-24,A NELSON DEPOSIT,567.00,REF0637
txn-04393,2024-12-15,STEVEN PAUL YOUNG ONLINE,6750.00,REF0393
txn-02170,2024-12-21,PAYMENT MARIA TERESA CAMPBELL,2567.75,REF0170
txn-03460,2024-12-14,R ANDERSON DEPOSIT,725.00,REF0460
txn-03285,2024-12-17,WIRE DOROTHY MAE SCOTT,789.25,REF0285
txn-07138,2024-12-12,SCOTT DOROTHY ACH PMT,789.25,REF0138
txn-07727,2024-12-21,ACH TRANSFER,1567.00,REF0727
txn-03708,2024-12-21,CHECK DEPOSIT,432.75,REF0708
txn-07770,2024-12-22,ACH TRANSFER,2345.00,REF0770
txn-09459,2024-12-21,DANIEL T,2890.00,REF0459
txn-01555,2024-12-22,BARBARA LEE,345.50,REF0555
txn-02470,2024-12-13,MICHELLE T,1875.50,REF0470
txn-03344,2024-12-19,"WILLIAMS, MICHAEL ACH",875.50,REF0344
txn-00093,2024-12-11,"JACKSON, WILLIAM ACH",299.00,REF0093
txn-01554,2024-12-10,B LEE DEPOSIT,345.50,REF0554
txn-08844,2024-12-25,ACH DEPOSIT,1678.00,
txn-03092,2024-12-15,MARTIN PATRICIA ONLINE PMT,1100.00,REF0092
txn-00375,2024-12-18,DEPOSIT EMILY ROSE DAVIS,2340.00,REF0375
txn-09842,2024-12-14,CASH DEPOSIT,789.25,REF0842
txn-04046,2024-12-18,ONLINE SANDRA LEE ADAMS,456.75,REF0046
txn-07380,2024-12-21,CLARK JOSEPH DEPOSIT,1567.00,REF0380
txn-04790,2024-12-24,PAYMENT,4560.00,REF0790
txn-08231,2024-12-14,BETTY JO KING DEPOSIT,198.50,REF0231
txn-03287,2024-12-13,SUSAN KAY LEWIS ONLINE PMT,923.25,REF0287
txn-03883,2024-12-24,CHECK RECEIVED,1200.00,REF0883
txn-02460,2024-12-14,R ANDERSON DEPOSIT,725.00,REF0460
txn-05107,2024-12-12,"MARTINEZ, DAVID CHECK DEP",189.99,REF0107
txn-04193,2024-12-18,ACH CHRISTOPHER JAMES BROWN,567.25,REF0193
txn-07795,2024-12-23,ACH TRANSFER,4560.00,REF0795
txn-01977,2024-12-22,PROMOTIONAL CREDIT,95.39,EXT0977
txn-09901,2024-12-19,TAX REFUND DEPOSIT,554.38,EXT0901
txn-02413,2024-12-14,EMILY D,2340.00,REF0413
txn-06551,2024-12-16,P MARTIN ACH,1100.00,REF0551
txn-04452,2024-12-22,CHECK A WILSON,3200.00,REF0452
txn-08584,2024-12-22,EDWARD PEREZ,1678.00,REF0584
txn-01174,2024-12-23,ONLINE PMT ROBERT LEE ANDERSON,725.00,REF0174
txn-02455,2024-12-25,WIRE C HALL,1890.75,REF0455
txn-02007,2024-12-14,BARBARA JEAN LEE DEP,345.50,REF0007
txn-08214,2024-12-11,"CARTER, GEORGE CHECK",9870.50,REF0214
txn-05382,2024-12-18,SARAH ELIZABETH JONES ONLINE PMT,1200.00,REF0382
txn-07955,2024-12-25,DIVIDEND PAYMENT,849.33,EXT0955
txn-01541,2024-12-11,JACKSON W ACH PMT,299.00,REF0541
txn-02215,2024-12-22,"HALL, CHARLES WIRE",1890.75,REF0215
txn-05846,2024-12-21,MISC PAYMENT,6750.00,
txn-02494,2024-12-15,ROBERTS R CHECK,892.50,REF0494
txn-05212,2024-12-24,LEWIS SUSAN DEP,923.25,REF0212
txn-07681,2024-12-11,STE YOUNG WIRE,6750.00,REF0681
txn-06718,2024-12-20,WIRE RECEIVED,5600.00,REF0718
txn-05424,2024-12-10,JENNIFER GARCIA,4500.00,REF0424
txn-05964,2024-12-20,VENDOR REBATE,862.45,EXT0964
txn-05994,2024-12-16,BANK ADJUSTMENT,84.67,EXT0994
txn-04164,2024-12-21,PATRICIA SUE MARTIN WIRE,1100.00,REF0164
txn-05353,2024-12-21,KEVIN MICHAEL PHILLIPS ONLINE,345.00,REF0353
txn-02700,2024-12-22,PAT MARTIN CHECK DEP,1100.00,REF0700
txn-04346,2024-12-16,THOMPSON DANIEL ACH PMT,2890.00,REF0346
txn-08152,2024-12-23,CHECK DEP THOMAS WAYNE ROBINSON,4125.00,REF0152
txn-04606,2024-12-12,DON WRIGHT PAYMENT,2345.00,REF0606
txn-04228,2024-12-10,PATRICIA SUE MARTIN ACH,1100.00,REF0228
txn-01715,2024-12-12,PAYMENT RECEIVED,432.75,
txn-00318,2024-12-20,"WALKER, NANCY ACH PMT",287.00,REF0318
txn-04342,2024-12-19,"GREEN, RONALD ONLINE PMT",1234.00,REF0342
txn-03845,2024-12-10,ACH DEPOSIT,534.00,
txn-08718,2024-12-20,WIRE RECEIVED,5600.00,REF0718
txn-03912,2024-12-10,DIVIDEND PAYMENT,943.68,EXT0912
txn-09552,2024-12-19,MARTIN P PAYMENT,1100.00,REF0552
txn-02168,2024-12-17,ADAMS SANDRA DEP,456.75,REF0168
txn-02454,2024-12-20,WILSON AMAN,3200.00,REF0454
txn-04035,2024-12-22,"PHILLIPS, KEVIN CHECK",345.00,REF0035
txn-07049,2024-12-12,"SMITH, JOHN ACH PMT",450.00,REF0049
txn-08961,2024-12-11,GRANT DEPOSIT,7315.77,EXT0961
txn-07609,2024-12-20,SUS LEWIS DEP,923.25,REF0609
txn-02694,2024-12-23,WILLIAMS M CHECK DEP,875.50,REF0694
txn-00930,2024-12-11,LOYALTY BONUS,44.37,EXT0930
txn-09000,2024-12-11,INVESTMENT INCOME,1278.42,EXT1000
txn-04700,2024-12-22,PAT MARTIN CHECK DEP,1100.00,REF0700
txn-03385,2024-12-21,"ROBERTS, RUTH ONLINE",892.50,REF0385
txn-05068,2024-12-18,CHECK RUTH ELLEN ROBERTS,892.50,REF0068
txn-06682,2024-12-19,BRIAN TURNER,4560.00,REF0682
txn-00383,2024-12-18,ACH PMT CHRISTOPHER JAMES BROWN,567.25,REF0383
txn-00311,2024-12-11,"MITCHELL, MARGARET DEPOSIT",234.25,REF0311
txn-06985,2024-12-25,INSURANCE REFUND,3263.32,EXT0985
txn-03949,2024-12-11,INSURANCE REFUND,2930.61,EXT0949
txn-01112,2024-12-19,JOHN DAVID SMITH DEP,450.00,REF0112
txn-08643,2024-12-16,JOS CLARK ACH PMT,1567.00,REF0643
txn-06465,2024-12-12,MARIA C,2567.75,REF0465
txn-05320,2024-12-25,"JOHNSON, SARAH WIRE",1200.00,REF0320
txn-03754,2024-12-13,WIRE TRANSFER,345.00,REF0754
txn-01948,2024-12-16,BANK ADJUSTMENT,186.33,EXT0948
txn-00228,2024-12-10,PATRICIA SUE MARTIN ACH,1100.00,REF0228
txn-08653,2024-12-24,WRIGHT DONA,2345.00,REF0653
txn-08196,2024-12-20,JOHN DAVID SMITH PAYMENT,450.00,REF0196
txn-03001,2024-12-15,"ROBERTS, RUTH ACH",892.50,REF0001
txn-02707,2024-12-25,CUSTOMER PAYMENT,567.00,REF0707
txn-02323,2024-12-12,"ROBINSON, THOMAS ACH",4125.00,REF0323
txn-01308,2024-12-24,"SMITH, JOHN ACH PMT",450.00,REF0308
txn-06462,2024-12-21,BRI TURNER ACH PMT,4560.00,REF0462
txn-01393,2024-12-15,STEVEN PAUL YOUNG ONLINE,6750.00,REF0393
txn-01221,2024-12-22,BETTY JO KING PAYMENT,198.50,REF0221
txn-02812,2024-12-17,CHECK PAYMENT,2345.00,REF0812
txn-02451,2024-12-15,JOHNSON SARA,1200.00,REF0451
txn-01609,2024-12-20,SUS LEWIS DEP,923.25,REF0609
txn-06230,2024-12-14,ONLINE NANCY LOU WALKER,287.00,REF0230
txn-03660,2024-12-19,WHITE ELIZ,5600.00,REF0660
txn-08979,2024-12-14,VENDOR REBATE,1510.99,EXT0979
txn-05315,2024-12-11,ONLINE PMT CHARLES EDWARD HALL,1890.75,REF0315
txn-05657,2024-12-21,DEPOSIT P MARTIN,1100.00,REF0657
txn-09920,2024-12-17,VENDOR REBATE,1298.07,EXT0920
txn-04004,2024-12-18,CLARK JOSEPH WIRE,1567.00,REF0004
txn-06011,2024-12-21,"MITCHELL, MARGARET WIRE",234.25,REF0011
txn-05198,2024-12-12,ONLINE PMT STEVEN PAUL YOUNG,6750.00,REF0198
txn-09597,2024-12-19,JENNIFER G,4500.00,REF0597
txn-06722,2024-12-20,CHECK RECEIVED,923.25,REF0722
txn-00797,2024-12-22,CHECK RECEIVED,3200.00,REF0797
txn-07800,2024-12-16,PAYMENT,1200.00,
txn-09744,2024-12-15,CHECK RECEIVED,3200.00,
txn-07764,2024-12-16,WIRE TRANSFER,892.50,REF0764
txn-08029,2024-12-23,ONLINE PMT JAMES PATRICK HARRIS,432.75,REF0029
txn-01800,2024-12-16,PAYMENT,1200.00,
txn-09420,2024-12-22,LIN MOORE CHECK,675.00,REF0420
txn-06156,2024-12-20,ONLINE KEVIN MICHAEL PHILLIPS,345.00,REF0156
txn-03364,2024-12-13,JAMES PATRICK HARRIS ONLINE PMT,432.75,REF0364
txn-00407,2024-12-22,MARTINEZ DAVI,189.99,REF0407
txn-02086,2024-12-13,THOMAS WAYNE ROBINSON ACH PMT,4125.00,REF0086
txn-02539,2024-12-19,JENNIFER GARCIA,4500.00,REF0539
txn-06795,2024-12-23,ACH TRANSFER,4560.00,REF0795
txn-06873,2024-12-20,COUNTER DEPOSIT,345.00,
txn-05413,2024-12-14,EMILY D,2340.00,REF0413
txn-07412,2024-12-13,S JONES WIRE,1200.00,REF0412
txn-05395,2024-12-14,MARTINEZ DAVID ACH PMT,189.99,REF0395
txn-01993,2024-12-18,LOAN DISBURSEMENT,21420.98,EXT0993
txn-04221,2024-12-22,BETTY JO KING PAYMENT,198.50,REF0221
txn-01096,2024-12-23,DEPOSIT KEVIN MICHAEL PHILLIPS,345.00,REF0096
txn-08778,2024-12-12,WIRE RECEIVED,534.00,REF0778
txn-01327,2024-12-13,CLARK JOSEPH DEPOSIT,1567.00,REF0327
txn-01439,2024-12-19,HARRIS JAME,432.75,REF0439
txn-04528,2024-12-22,MIC WILLIAMS WIRE,875.50,REF0528
txn-03847,2024-12-16,WIRE RECEIVED,456.75,
txn-04949,2024-12-11,INSURANCE REFUND,2930.61,EXT0949
txn-04223,2024-12-18,EMILY ROSE DAVIS DEP,2340.00,REF0223
txn-06223,2024-12-18,EMILY ROSE DAVIS DEP,2340.00,REF0223
txn-07379,2024-12-14,ROBINSON THOMAS DEP,4125.00,REF0379
txn-03691,2024-12-11,BROWN CHRI,567.25,REF0691
txn-05493,2024-12-10,E PEREZ ONLINE PMT,1678.00,REF0493
txn-08937,2024-12-10,LOYALTY BONUS,53.14,EXT0937
txn-09415,2024-12-21,WILLIAMS MICH,875.50,REF0415
txn-04517,2024-12-22,BRIAN T,4560.00,REF0517
txn-04668,2024-12-19,KEVIN P,345.00,REF0668
txn-05184,2024-12-25,JAMES PATRICK HARRIS WIRE,432.75,REF0184
txn-00974,2024-12-15,VENDOR REBATE,1496.56,EXT0974
txn-05865,2024-12-18,CHECK RECEIVED,1567.00,REF0865
txn-09646,2024-12-18,DEPOSIT R GREEN,1234.00,REF0646
txn-07354,2024-12-11,"ROBERTS, RUTH ONLINE PMT",892.50,REF0354
txn-00539,2024-12-19,JENNIFER GARCIA,4500.00,REF0539
txn-03787,2024-12-19,CUSTOMER PAYMENT,432.75,REF0787
txn-08265,2024-12-23,ADAMS SANDRA CHECK DEP,456.75,REF0265
txn-08489,2024-12-23,CARTER GEOR,9870.50,REF0489
txn-04296,2024-12-20,"MOORE, LINDA WIRE",675.00,REF0296
txn-06251,2024-12-21,MARTINEZ DAVID ONLINE PMT,189.99,REF0251
txn-09288,2024-12-13,WALKER NANCY PAYMENT,287.00,REF0288
txn-07668,2024-12-19,KEVIN P,345.00,REF0668
txn-07951,2024-12-24,GRANT DEPOSIT,15613.00,EXT0951
txn-00173,2024-12-13,"PHILLIPS, KEVIN ONLINE",345.00,REF0173
txn-04613,2024-12-13,STEVEN YOUNG,6750.00,REF0613
txn-07516,2024-12-14,ACH D SCOTT,789.25,REF0516
txn-03869,2024-12-11,PAYMENT RECEIVED,5600.00,REF0869
txn-09020,2024-12-10,DEP STEVEN PAUL YOUNG,6750.00,REF0020
txn-01082,2024-12-12,"WALKER, NANCY ONLINE PMT",287.00,REF0082
txn-09431,2024-12-11,WILLIAMS MICH,875.50,REF0431
txn-06170,2024-12-21,PAYMENT MARIA TERESA CAMPBELL,2567.75,REF0170
txn-05240,2024-12-22,THOMAS MICHELLE CHECK,1875.50,REF0240
txn-03052,2024-12-24,"TURNER, BRIAN DEPOSIT",4560.00,REF0052
txn-00113,2024-12-22,ONLINE PMT ELIZABETH JANE WHITE,5600.00,REF0113
txn-01921,2024-12-12,LOYALTY BONUS,10.19,EXT0921
txn-02266,2024-12-17,PAYMENT DOROTHY MAE SCOTT,789.25,REF0266
txn-07367,2024-12-23,"ALLEN, KAREN ONLINE",534.00,REF0367
txn-00329,2024-12-25,PAYMENT PATRICIA SUE MARTIN,1100.00,REF0329
txn-09461,2024-12-25,CHARLES HALL,1890.75,REF0461
txn-04055,2024-12-12,GEORGE WILLIAM CARTER ACH PMT,9870.50,REF0055
txn-00751,2024-12-19,CHECK DEPOSIT,1100.00,REF0751
txn-04229,2024-12-18,RUTH ELLEN ROBERTS DEP,892.50,REF0229
txn-04068,2024-12-18,CHECK RUTH ELLEN ROBERTS,892.50,REF0068
txn-02601,2024-12-20,JONES S ONLINE PMT,1200.00,REF0601
txn-08026,2024-12-15,WIRE MICHAEL ROBERT WILLIAMS,875.50,REF0026
txn-03054,2024-12-25,TURNER BRIAN PAYMENT,4560.00,REF0054
txn-05742,2024-12-12,PAYMENT,567.00,
txn-09537,2024-12-16,CHECK DEP A NELSON,567.00,REF0537
txn-05428,2024-12-20,ROBINSON T PAYMENT,4125.00,REF0428
txn-04890,2024-12-19,PAYMENT RECEIVED,675.00,REF0890
txn-02234,2024-12-17,"ALLEN, KAREN ONLINE",534.00,REF0234
txn-08348,2024-12-13,SCOTT DOROTHY PAYMENT,789.25,REF0348
txn-06849,2024-12-24,DEPOSIT,3200.00,REF0849
txn-07060,2024-12-23,LEE BARBARA ONLINE,345.50,REF0060
txn-08782,2024-12-12,UNKNOWN DEPOSIT,567.25,REF0782
txn-05248,2024-12-25,JACKSON WILLIAM ACH,299.00,REF0248
txn-04005,2024-12-18,DEP MARIA TERESA CAMPBELL,2567.75,REF0005
txn-02178,2024-12-12,"MOORE, LINDA ONLINE PMT",675.00,REF0178
txn-05982,2024-12-14,INVESTMENT INCOME,860.94,EXT0982
txn-02500,2024-12-24,BAKER KENN,3456.00,REF0500
txn-07261,2024-12-14,MITCHELL MARGARET WIRE,234.25,REF0261
txn-07791,2024-12-10,CHECK DEPOSIT,1234.00,REF0791
txn-07956,2024-12-25,PROMOTIONAL CREDIT,207.09,EXT0956
txn-01336,2024-12-13,DEP EMILY ROSE DAVIS,2340.00,REF0336
txn-08411,2024-12-14,SMITH J ONLINE PMT,450.00,REF0411
txn-08739,2024-12-16,ONLINE DEPOSIT,4560.00,REF0739
txn-04899,2024-12-19,CHECK DEPOSIT,1200.00,REF0899
txn-06880,2024-12-21,MISC PAYMENT,189.99,
txn-09463,2024-12-20,CARTER G CHECK,9870.50,REF0463
txn-07373,2024-12-19,DAVID ALLEN MARTINEZ ACH PMT,189.99,REF0373
txn-03636,2024-12-15,LEE B ONLINE PMT,345.50,REF0636
txn-04884,2024-12-16,ACH DEPOSIT,875.50,
txn-03469,2024-12-16,ANDERSON R WIRE,725.00,REF0469
txn-08691,2024-12-11,BROWN CHRI,567.25,REF0691
txn-06748,2024-12-20,ONLINE DEPOSIT,4125.00,REF0748
txn-04593,2024-12-25,BROWN C ACH,567.25,REF0593
txn-08215,2024-12-22,"HALL, CHARLES WIRE",1890.75,REF0215
txn-08522,2024-12-10,TAYLOR R CHECK DEP,8900.00,REF0522
txn-04512,2024-12-21,J HARRIS CHECK DEP,432.75,REF0512
txn-05464,2024-12-21,KAREN A,534.00,REF0464
txn-08465,2024-12-12,MARIA C,2567.75,REF0465
txn-08935,2024-12-15,DIVIDEND PAYMENT,320.70,EXT0935
txn-08045,2024-12-19,MARTIN PATRICIA DEPOSIT,1100.00,REF0045
txn-00966,2024-12-24,LOYALTY BONUS,52.31,EXT0966
txn-02144,2024-12-18,"WILLIAMS, MICHAEL CHECK DEP",875.50,REF0144
txn-01477,2024-12-13,NELSON ASHL,567.00,REF0477
txn-02921,2024-12-12,LOYALTY BONUS,10.19,EXT0921
txn-05514,2024-12-15,ASHLEY NELSON,567.00,REF0514
txn-04684,2024-12-15,LEE BARB,345.50,REF0684
txn-02339,2024-12-12,"JONES, SARAH WIRE",1200.00,REF0339
txn-09500,2024-12-24,BAKER KENN,3456.00,REF0500
txn-01413,2024-12-14,EMILY D,2340.00,REF0413
txn-04032,2024-12-12,SANDRA LEE ADAMS CHECK,456.75,REF0032
txn-02667,2024-12-15,D WRIGHT ONLINE,2345.00,REF0667
txn-03945,2024-12-18,TAX REFUND DEPOSIT,1880.21,EXT0945
txn-09587,2024-12-17,C BROWN WIRE,567.25,REF0587
txn-04658,2024-12-25,MICHAEL W,875.50,REF0658
txn-04539,2024-12-19,JENNIFER GARCIA,4500.00,REF0539
txn-06000,2024-12-11,INVESTMENT INCOME,1278.42,EXT1000
txn-09161,2024-12-17,RUTH ELLEN ROBERTS WIRE,892.50,REF0161
txn-02320,2024-12-25,"JOHNSON, SARAH WIRE",1200.00,REF0320
txn-05718,2024-12-20,WIRE RECEIVED,5600.00,REF0718
txn-09626,2024-12-22,GARCIA J WIRE,4500.00,REF0626
txn-09740,2024-12-12,COUNTER DEPOSIT,1200.00,
txn-03939,2024-12-22,INTEREST PAYMENT,179.25,EXT0939
